城市,区县,2020占比_无约束,2020占比_约束,2020_CCG,2020_CEADs,2020_均值,2020_差值,2020_SMAPE,2020_差异水平
重庆,渝中区,0.008865603506328503,0.00878369138671212,165.27393713237527,142.466208107044,153.87007261970962,22.80772902533127,0.14822719348226113,3.380725663128761
重庆,大渡口区,0.020228940810551186,0.020042039217421762,377.11100991500786,300.9076883518698,339.00934913343883,76.20332156313805,0.2247823600084355,17.129162461443872
重庆,江北区,0.03782409376086529,0.037474624975090055,705.1225435312945,595.6449979612821,650.3837707462883,109.47754557001235,0.16832760978090125,18.428093570479874
重庆,沙坪坝区,0.05963930321408827,0.0590882767966286,1111.8050162053637,977.8827770820427,1044.8438966437031,133.922239123321,0.12817439959549204,17.16540259211558
重庆,九龙坡区,0.05493535701458946,0.05442779184638229,1024.1133313815292,868.7761372864667,946.444734333998,155.3371940950625,0.16412706253194112,25.4950373687766
重庆,南岸区,0.04472488141327283,0.04431165406405318,833.7680828692246,774.3272429280306,804.0476628986276,59.440839941193985,0.0739270104049642,4.394283592812459
重庆,北碚区,0.04297059597068951,0.04257357702047074,801.0644252171774,701.0119232074793,751.0381742123284,100.05250200969806,0.13321893006920832,13.328887268479289
重庆,渝北区,0.09501770835175706,0.0941398096405607,1771.3346581967903,1628.4546148277868,1699.8946365122886,142.8800433690035,0.08405229377166201,12.009395379359288
重庆,巴南区,0.03837060957131168,0.0380160913528153,715.3107748945727,657.8528457409028,686.5818103177378,57.45792915366985,0.08368693765289142,4.808478134747422
重庆,涪陵区,0.04488371178464722,0.04446901695130543,836.729022955763,769.3164813839995,803.0227521698812,67.41254157176343,0.0839484826421234,5.659180575998604
重庆,长寿区,0.041530776481482956,0.04114706047969197,774.2230899858841,685.7374836202147,729.9802868030495,88.48560636566947,0.12121643277956506,10.725909555983227
重庆,江津区,0.035778999784134,0.03544842626954128,666.9975886876888,602.2794809243411,634.638534806015,64.71810776334769,0.1019763285932985,6.599715023211646
重庆,合川区,0.031123120412910387,0.03083556404291509,580.2019730314903,525.9955879747553,553.0987805031227,54.20638505673503,0.09800488984522175,5.312490796392991
重庆,永川区,0.038916950119235336,0.038557384087323794,725.4957389870846,662.4128425640561,693.9542907755704,63.0828964230285,0.09090353249711362,5.734458125002824
重庆,南川区,0.017054364517497964,0.01689679384051681,317.9300729031643,287.84353698669486,302.88680494492957,30.086535916469415,0.09933260685271418,2.988574043750721
重庆,綦江区—万盛经开区,0.020288054245710636,0.020100606484825315,378.21301161847316,338.751008533882,358.4820100761776,39.462003084591174,0.11008084638948962,4.3440106997764465
重庆,大足区,0.030001013837129945,0.029723824965296734,559.2834905470233,488.16063729393966,523.7220639204816,71.12285325308369,0.13580266739321967,9.658673184385297
重庆,璧山区,0.037683003662015185,0.037334838452363725,702.4923203196759,611.0105301063214,656.7514252129986,91.48179021335443,0.13929439160894844,12.74290031106666
重庆,铜梁区,0.03146306768645753,0.03117237043589903,586.5393221218761,503.00028838903575,544.7698052554559,83.53903373284038,0.15334740091489996,12.810493697873225
重庆,潼南区,0.014269329204702351,0.014137490351337571,266.0110184507677,236.1049992034025,251.05800882708513,29.906019247365208,0.11911995712497991,3.5624037305249674
重庆,荣昌区,0.02080201637342903,0.02060981995361103,387.79437224714513,359.97868960769694,373.88653092742106,27.815682639448198,0.07439605425328302,2.069377034736491
四川广安,广安区,0.4346788537284749,0.4428660752892377,894.5894720842601,474.1297853720575,684.3596287281588,420.45968671220265,0.6143841177388001,258.32375366540896
四川广安,岳池县,0.16434514309056247,0.1674406010070826,338.23001403430686,178.0942110284449,258.1621125313759,160.13580300586196,0.620291650992745,99.33090162955509
四川广安,武胜县,0.14335033725500454,0.14605035581318798,295.02171874263973,147.1713833322445,221.0965510374421,147.85033541039525,0.6687138931685876,98.86957339856689
四川广安,邻水县,0.11945706568036385,0.12170705197561313,245.84824499073852,127.51492157900076,186.68158328486965,118.33332341173777,0.6338778648087916,75.00887437996052
四川广安,华蓥市,0.11968169863450173,0.12193591591487854,246.31055014805466,136.9273004256989,191.6189252868768,109.38324972235577,0.5708374032397675,62.440050229436594
